gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	3.53653759648037	9.38513576828046	469.4707395756	4.17772446148024e-104	1.04037872264242e-99
EIF1AY	3.12836221460131	8.99528277787036	252.389166810256	7.82689440277877e-57	9.74565756561999e-53
XIST	-1.98719396013273	8.87844339530506	82.8894537238903	8.67729080654218e-20	7.20301909851067e-16
RPS4X	-0.627167694202195	12.0229844764372	67.0666153257924	2.62485984901125e-16	1.63417212049818e-12
S100A9	1.20757993529048	8.88136264497853	38.5488623198543	5.33998878715404e-10	2.65963481532994e-06
LST1	1.22576123153907	8.74258466794873	31.3758004138096	2.12614468347168e-08	8.8245635087492e-05
SEPT6	-0.726546780859027	9.46878655950368	29.6251926876647	5.24192047215618e-08	0.000186485065025865
DDX3Y	1.15441165009881	8.71441166832238	28.8339140813322	7.88581196733378e-08	0.000235231336908593
FLNA	-0.656106704384623	9.69521287861056	28.6883612201971	8.50131322401853e-08	0.000235231336908593
EIF1AX	-0.825996561265146	9.07151383954108	24.0250556681113	9.50901942539651e-07	0.00236803110750649
IFI27	-1.04595014447795	8.71600214416507	22.7029182255274	1.89080498531165e-06	0.00428061059538328
MZB1	0.86265239582545	8.93398957052319	21.6642739226673	3.24784146684466e-06	0.00674008300406938
IGLL5	-0.576144089623956	9.63680792013523	20.4215617701125	6.21258770297399e-06	0.0119009285820893
NSUN6	0.97146010473339	8.72640149416999	19.6305765150236	9.39535458430692e-06	0.0165914962864692
ANXA1	0.452564213216727	10.1361380821611	19.5126299082885	9.99367322399062e-06	0.0165914962864692
RP11-1143G9.4	0.879105275480036	8.69928525301301	17.7217971263689	2.55680018835664e-05	0.0397949969316534
CHP1	0.833226386321189	8.76296656976996	14.6112739440061	0.000132121764143662	0.193542840733507
ITM2C	0.704382324630076	8.91453728184761	14.1828896623839	0.000165872007590491	0.229483922501445
AL928768.3	0.629299745113573	9.02997477923208	14.0565789763486	0.000177392181344995	0.232505131159706
PIM2	0.678275242996655	8.93615161540987	13.6699859141639	0.00021790957485954	0.263413121834425
PRIM1	-0.748229377971806	8.87108710406249	13.6339768174512	0.000222128882404647	0.263413121834425
SMC1A	-0.55894321521028	9.19191314227477	13.4024350969642	0.000251297848094618	0.284457741413648
RELA	0.77649654617085	8.75086138400306	12.4740301897524	0.000412648834156035	0.428135315296148
PKM	0.362489672244138	10.1264399389286	12.4296397294892	0.000422573409848975	0.428135315296148
S100A8	0.761619655224694	8.76963786986133	12.37698491149	0.000434658477964371	0.428135315296148
MT-ND3	-0.33961296721031	10.4284666849371	12.2488788154609	0.000465537796655713	0.428135315296148
LMNA	0.546610408568739	9.10778277090747	12.204427697939	0.000476762258066405	0.428135315296148
POLA1	-0.710652952364773	8.68950346490901	12.186449052004	0.000481379304834443	0.428135315296148
FAM45A	0.67388994839748	8.85574865620788	11.328988235193	0.000763064651738534	0.646898988692521
LDHA	0.314673056830653	10.4995077444113	11.2850000790405	0.000781358293181046	0.646898988692521
WDR55	-0.756315623448616	8.74024155078342	11.2290253614415	0.000805279229388754	0.646898988692521
MRPL18	0.520405172633443	9.12133840974646	11.1512182959527	0.000839765048953707	0.653520906690442
ASF1A	0.628880052122641	8.90307683460869	11.0258614955279	0.000898495127572665	0.672306330281153
HSP90B1	0.411533326321867	9.54398991436598	10.9862610198837	0.000917898053630455	0.672306330281153
MKS1	0.442476725579358	8.65897018245064	10.9127995470387	0.000955020889509967	0.679511006041906
BMPR2	0.558491498207853	8.66753580727034	10.8103053847766	0.00100936651293298	0.698229285321388
TTTY15	0.615833852640947	8.67627759774484	10.746144460723	0.0010449679730544	0.703319930620909
FAM161A	-0.466962989037195	8.66325838808089	10.6150324767923	0.00112171983459092	0.717262285628821
TNFAIP3	0.65480502846954	8.84999192370288	10.6124500500185	0.00112328752116307	0.717262285628821
STK16	0.671091596022516	8.82299904857638	10.528307062161	0.00117559853468391	0.731898257730836
ATP11C	-0.45639923664117	8.66297424396393	10.3310226636129	0.0013081270581336	0.772337586726451
CCND2	0.63802653652994	8.86139490009489	10.3212376885807	0.00131508067633769	0.772337586726451
SPOP	0.700624051946218	8.76392413776204	10.2954379390891	0.00133359499776081	0.772337586726451
NOL7	0.480830394383618	9.17232572303513	10.2521625159069	0.00136524464105398	0.772697438549259
UGDH	0.648302392833515	8.68701583984872	10.1446392753072	0.00144721480807054	0.800888674786238
RFX2	0.405947457731357	8.65723233613925	10.0229695683669	0.00154600008867013	0.824757927385465
KLRF1	-0.436443729680854	8.66180562282344	10.0104031473949	0.00155658445115516	0.824757927385465
C5orf15	0.68722971411767	8.71977121691175	9.69415203348549	0.00184855367783782	0.959052754983235
FAM83G	0.38940658378304	8.65660808850048	9.57015268983844	0.00197766333225504	1
RAVER1	-0.429209735877842	8.66218881219224	9.47176271165562	0.00208658777782119	1
RFWD2	0.680895236108706	8.72792782892176	9.44963322384481	0.00211191328409616	1
CD68	0.383030332306082	8.65642489456955	9.41842652727838	0.00214815770539846	1
AIF1	0.629511167870634	8.8287744717718	9.36841419592508	0.00220756422116008	1
TYMP	0.58811638601028	8.8813388758459	9.18708689098054	0.00243728483791082	1
PABPC4	0.621656578907968	8.82398158280038	9.15363783770738	0.00248224088397199	1
HINFP	0.606256989322812	8.68498501137145	9.0621659519179	0.00260952678201954	1
TMEM106A	0.552156770646208	8.67204536506835	9.04634418200915	0.00263220629295925	1
SUMO3	0.475686436233032	9.10251086585013	9.04392938973166	0.00263568530403028	1
RBM3	0.330882266808444	9.90712831338642	9.00670344527288	0.00268991159535075	1
NKG7	-0.412722349457725	9.36371140626411	8.99695893165836	0.00270429237842298	1
KMT2E	0.569212327597019	8.90492421809027	8.98595441057773	0.00272062654071761	1
SYNGAP1	0.377119425640781	8.65695321318766	8.97942226050804	0.00273036964404792	1
C2orf48	0.654402657755579	8.7129413328075	8.90088182889204	0.00285032972295472	1
IL16	-0.600671182386378	8.87082123363207	8.79794061191615	0.00301570765383319	1
LMBR1	-0.403358540937177	8.66168073993675	8.71704636079627	0.0031524836187024	1
YIF1A	0.606392330001883	8.82961858363905	8.65896359102339	0.00325456356321351	1
MEAF6	-0.548823458079136	8.94566294851187	8.65682891734838	0.00325837858580106	1
ABCF2	-0.659546704844301	8.74965253738883	8.61697007651773	0.00333045381659478	1
ABHD10	0.603327243894517	8.68843737735682	8.56384895545688	0.00342903701301537	1
MT1F	0.523498168596645	8.96731698562503	8.56328807684901	0.00343009357815975	1
OST4	0.329939018696504	9.83371831644521	8.53918223749912	0.00347581756902641	1
CLPB	0.565468349534313	8.67760213510752	8.45026976713454	0.00364989297258058	1
PPIB	0.320562934800302	9.88929931901137	8.4275389319119	0.00369580226731339	1
SNRPB2	0.375675777583097	9.44261058986039	8.32350902780678	0.00391352465522377	1
PABPN1	0.512935567000407	8.96777147953235	8.30995964043547	0.00394282673608969	1
LYZ	0.574304035876275	8.85198565964476	8.30850593613388	0.00394598376614284	1
USP9Y	0.342125269040648	8.65501652669356	8.30186657550393	0.00396043528891114	1
FCER2	0.465064639372723	8.66371302861852	8.29172009889289	0.00398262466057858	1
PPAP2A	-0.498072148362685	8.6697757275465	8.27309498049447	0.00402368578907619	1
TSHZ1	-0.380894378479705	8.66046972202052	8.24500050494172	0.00408643975378242	1
CPD	-0.507136143620876	8.67219282948593	8.20422175116039	0.00417930311523233	1
PMF1	0.467586238626218	9.06298296414369	8.2018537495162	0.00418476116797554	1
SEC61G	0.340154170706277	9.67432574314673	8.16274515206408	0.00427596010835299	1
KCNQ1OT1	0.545034887238995	8.67583408084366	8.12233652777876	0.00437231714070614	1
PRDX1	0.282977533393561	10.2516048054804	8.11236317902035	0.00439643753465612	1
RP11-296O14.3	-0.368304984252504	8.65929395272057	8.0225663323078	0.00461980612473934	1
COPS2	0.607821081751319	8.78264044441798	8.02079442134774	0.00462432815579166	1
C16orf54	0.531773736991858	8.9107039631733	8.01770748057896	0.00463221699850961	1
KDM5D	0.515012800762025	8.67153539848342	7.99202248862055	0.00469839018050922	1
IPPK	-0.367425115845282	8.65928671323697	7.99188816765813	0.00469873875555066	1
ZNF140	-0.370671442266852	8.65981082643883	7.97543575311688	0.00474163409026319	1
LIMA1	0.617325676748372	8.75980767835884	7.96593075901632	0.00476659743618519	1
AHCYL1	0.618486944436715	8.7560289312757	7.95210281583189	0.00480315359279415	1
GBP7	0.503794519665617	8.6697164731418	7.93095069856204	0.00485962568987213	1
MED18	0.536641003751172	8.67531671146965	7.91972634356696	0.00488986681159865	1
VCAN	0.509212961067254	8.67109732706063	7.91769180730699	0.00489536883588435	1
BZRAP1	-0.593524609401284	8.69464665335507	7.89572690570238	0.00495517199938702	1
AL928742.12	-0.577654524609584	8.68826065066293	7.88839330493013	0.00497530429863731	1
ALDOA	0.279654172541363	10.2415811361356	7.84445406663747	0.00509768504610747	1
CLIC3	-0.602861167630508	8.69653689593351	7.83806354852032	0.00511573789584327	1
SNN	-0.49018663173609	8.67110311168481	7.79380688799932	0.00524256177289305	1
HEXIM1	0.605260952526257	8.77612729119811	7.78869212072826	0.00525742401077749	1
ABCB9	0.440045903154144	8.66274637760366	7.74169913712221	0.00539600036733547	1
TRMT10C	0.594657048305917	8.78796045705237	7.73329417883741	0.00542117538349273	1
TMEM55B	0.614676815472421	8.73032278108662	7.71640521544035	0.00547212488416509	1
PIKFYVE	-0.578943337019002	8.69126721645397	7.70781292714554	0.00549823264077578	1
PHPT1	0.434734563078566	9.11580765535522	7.70359483079233	0.00551109581561179	1
HMGXB4	0.528382357783676	8.89542385074684	7.69375692511312	0.00554121609876594	1
RP11-85F14.5	0.568464505054925	8.68678346493035	7.66059999448829	0.00564397322968076	1
FAM189B	0.321229943948995	8.65461799885877	7.62763056303437	0.00574807684787104	1
ZNF519	0.48906792470568	8.66868105797364	7.60000968870189	0.00583679871740353	1
SOX4	0.610895897192582	8.72552813256241	7.58616331546102	0.00588179952242653	1
UBOX5	-0.353552032606749	8.65911053227685	7.5820643300083	0.00589518903384752	1
FXYD2	-0.599953474820354	8.79417304508408	7.55463383276197	0.00598559592363006	1
TOR1B	-0.560400682600485	8.68589974251576	7.54092582537137	0.00603130435728349	1
PLCE1	0.319010507584241	8.65461236674188	7.5322200815965	0.00606051784585301	1
URI1	0.592729387320176	8.77629298062006	7.51772347164032	0.00610948427972243	1
GORASP2	0.564211402289301	8.82476022861938	7.50775853235601	0.0061433776788868	1
FUT7	0.478269181366848	8.98486996308281	7.48119274362415	0.00623467576265392	1
FRMD8	0.601860794717906	8.75119079448356	7.47496705662618	0.00625627100645136	1
STRN3	0.586697065438824	8.69904657919681	7.45831526172414	0.00631440760385205	1
HSPA5	0.395936501554004	9.21251331936976	7.38739416861353	0.00656825792014265	1
IFT88	0.535685356761497	8.67852828294545	7.34191119681186	0.00673651803108433	1
UTY	0.538467198087129	8.6816019911484	7.31311911543095	0.0068453007848482	1
VOPP1	-0.480198958973027	8.99155210354057	7.31003939174866	0.00685704237772291	1
TNFSF14	0.309875002194737	8.65445563367113	7.30954129510294	0.00685894332651948	1
ADAL	-0.569721238406362	8.69296550789878	7.30524798684517	0.00687535074980956	1
EXOC5	0.573174976827712	8.69503312661305	7.30297482826712	0.00688405414084521	1
PTGES3	0.326323069582719	9.63172173325652	7.29469329312712	0.00691585749343523	1
UBXN6	0.591098074487302	8.76159302849084	7.2836160659925	0.00695863184698568	1
PSMA8	-0.333281352638105	8.65731544575306	7.2505276647596	0.00708801809337437	1
METTL21A	0.593814411452056	8.74844949855651	7.24789158699784	0.00709843112354079	1
AC092295.7	-0.333415133550144	8.65732917207598	7.24677093728783	0.00710286264556812	1
RP11-111F5.4	-0.452963752998654	8.66651843881803	7.22921179662446	0.00717266921540074	1
FYTTD1	0.571572925412118	8.69726573415307	7.22488850802219	0.00718996378950339	1
