gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	3.97450439236163	8.08779467506001	5838.20369147328	0	0
XIST	-3.61238658507506	7.69018125497469	3371.23204650821	0	0
EIF1AY	3.54772182272511	6.39495223266206	1530.24368764077	0	0
DDX3Y	3.14961899995725	6.2684326359007	1129.95060166377	1.02181263410726e-247	6.36155000679325e-244
UTY	3.08666958592722	5.9735948459296	728.223674181833	2.1799758325234e-160	1.0857587631466e-156
HBA2	1.51798034159782	6.43171557171321	401.092606001594	3.18484912127533e-89	1.32187162778532e-85
ZFY	2.44897317810711	5.74789613760941	355.036545450729	3.39142726729895e-79	1.20652447482208e-75
KDM5D	2.3269889244453	5.77527315713454	333.566999188103	1.60658098375673e-74	5.00108577981172e-71
HBA1	1.54600685520801	6.12634054787165	283.770170786554	1.13247819833927e-63	3.13356717480476e-60
HBB	0.685000107466068	6.79771746138677	124.757424234581	5.7512525145359e-29	1.43223441369488e-25
DONSON	-0.412152366821414	7.81709609839442	79.2140483082985	5.57323692219069e-19	1.26173017339377e-15
RPS4X	-0.283971755717187	11.4694014035538	78.9907668701077	6.24008913748543e-19	1.29497449825666e-15
FCGR3B	-0.789833213422169	6.14591233722759	77.3872076271061	1.40522406751023e-18	2.69186884255441e-15
TTTY14	0.967971117242461	5.58954085538907	62.9115022091113	2.16205928074922e-15	3.84584016203555e-12
TTTY15	1.00673219049081	5.6405711526591	55.4586834418551	9.54441525012148e-14	1.58456381982517e-10
PRKX	-0.45486020254265	6.74060860068429	52.9590333087688	3.40578101783778e-13	5.30088529295089e-10
RPL17	0.263014740369286	8.89756873529868	51.2941909536712	7.9510570577943e-13	1.16473631711913e-09
TEX40	0.805950149997566	5.57785609807155	50.169028787736	1.41056627213693e-12	1.95151843750144e-09
LINC00278	0.705852487211376	5.56896318642962	46.0409624600139	1.15806135206681e-11	1.51785272897472e-08
EIF1AX	-0.33755210153059	7.21267803369034	42.8290142247668	5.97395170390385e-11	7.43846596411588e-08
TIMP1	0.218331750579593	9.86827601112453	41.4034455826188	1.23838916115615e-10	1.46855263239388e-07
CD63	0.291480008748072	7.56269191572829	39.9430497002311	2.61476316174764e-10	2.95979304622734e-07
TMSB4Y	0.702912811873071	5.57422403176066	39.4215926545085	3.41499756574168e-10	3.69755149476805e-07
RNF144B	0.287379535217244	7.42657936235969	36.5456259468401	1.49134243532948e-09	1.54745419445875e-06
RPLP1	0.16881601712358	12.1515961003061	29.1070723361015	6.84865190641545e-08	6.82207913701855e-05
CDKN1A	-0.283448299450178	7.09207093840089	28.1978833492003	1.09524275706409e-07	0.000104903193766027
DDIT4	0.418110872182846	6.26475970414438	27.8956868673724	1.28034854732083e-07	0.000118090814347891
RP11-1143G9.4	0.254050979032387	7.32924063443356	27.6886168269143	1.42498768436586e-07	0.000126737386799153
UQCR11.1	0.182734513355643	9.12914138548523	26.0338323201684	3.35486493583485e-07	0.000288090349989983
