gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	4.16063309330661	8.93490577943818	16730.2791824017	0	0
TTTY15	3.53312337521409	4.6996018027871	1956.93708879507	0	0
EIF1AY	3.51811655683397	5.0636374312911	2767.65173549611	0	0
DDX3Y	3.4746321799067	5.1184946658779	2868.73389440337	0	0
UTY	3.34469640393119	4.61308921583741	1656.91820205706	0	0
XIST	-3.02269009274721	7.14010467059071	5126.73822010723	0	0
KDM5D	3.16504144717883	4.482387768624	1324.12299180647	6.47133939288526e-290	2.30222521287174e-286
ZFY	2.87625644987744	4.10691260145542	671.961020925436	3.74233255771297e-148	1.16494134605908e-144
USP9Y	2.6751656259582	4.12906244073253	618.478976657058	1.60167663925171e-136	4.43183926080947e-133
TTTY14	2.62199394816367	3.94226035801425	442.900533461943	2.53036404510116e-98	6.30136558151541e-95
RPS4X	-0.474893080482613	12.80797397701	319.350593385902	2.00611813009439e-71	4.54166907215824e-68
EIF1AX	-0.564192843480321	7.06901366143611	283.180491736469	1.52238887517843e-63	3.15933751321403e-60
DONSON	-0.52587240200104	7.10554660993436	244.724158575515	3.67002443479264e-55	7.03035526920316e-52
JPX	-0.583106776594832	5.68281196850355	156.296681749686	7.29182805476464e-36	1.29705995748431e-32
EIF2S3	-0.37548175468346	7.68326490370176	151.503915314091	8.13298934457707e-35	1.35023889098668e-31
SEPT6	-0.37524546311834	7.66169335786582	150.819243910814	1.14787779670628e-34	1.78660004821103e-31
ZRSR2	-0.536721788189586	5.80343851694296	144.344961031352	2.98655763470204e-33	4.37495557511675e-30
CD99	0.402791424307877	6.75960016942156	136.702257168788	1.40092024445776e-31	1.93817315820731e-28
PRKX	-0.527692901713065	5.73819378300711	133.790258519402	6.07232151618536e-31	7.95889593250337e-28
TMSB4Y	1.42327259398028	3.78586443522849	125.114943394953	4.80304124468912e-29	5.98050680582465e-26
FCER1G	-0.432484969902169	6.07330241151326	112.74547187639	2.45330907023622e-26	2.90927408457584e-23
SYAP1	-0.492593829853478	5.59755435697677	106.941514414492	4.5850267974224e-25	5.19004192437318e-22
RP11-706O15.1	-0.741543683507046	4.6989404549207	104.851763135712	1.31623530807786e-24	1.42513947291578e-21
DDX3X	-0.364694289800071	6.32332675926663	90.6317241077325	1.73063207845651e-21	1.79574711040844e-18
TXLNG	-0.487342959957041	5.39911594760735	90.0445295523723	2.32859646521589e-21	2.31956151093085e-18
SMC1A	-0.495250517732605	5.33749048557879	88.3273197180201	5.54720028466352e-21	5.31315110342214e-18
ZFX	-0.461151604206063	5.15631039034763	65.6928711028474	5.26961333511201e-16	4.86034003275164e-13
KDM6A	-0.642140664904837	4.53187589113427	65.0862034141669	7.16922549138312e-16	6.37625794328264e-13
FUNDC1	-0.530563510746475	4.81929498365709	63.127784334867	1.9372213728801e-15	1.66353875340804e-12
CXorf38	-0.497411527821441	4.94339815933146	62.9484415478498	2.12188880077268e-15	1.7613798935214e-12
RP11-424G14.1	0.979324049151185	3.76305030696754	62.2142856852887	3.0804516287756e-15	2.4745963519806e-12
TSIX	-1.03388441681345	3.91754552562392	59.2832200015814	1.36535841292439e-14	1.062547517408e-11
MTRNR2L8	-0.468314346554262	4.9317563019845	55.950855486622	7.43053942330672e-14	5.60735525026083e-11
KDM5C	-0.539066020743488	4.64989634055328	53.5875549445597	2.47321151308551e-13	1.81148195030495e-10
TSHZ2	0.338219353977782	5.4271112405809	45.9064239450295	1.24038543928513e-11	8.82551959843359e-09
UBA1	-0.384308292545281	5.10867715371861	44.495157349756	2.54987146445881e-11	1.76387358553938e-08
HDHD1	-0.716227218766618	4.12405610009124	44.0588447286599	3.18650745409899e-11	2.14469176025479e-08
SCGB3A1	0.349401636232538	5.23448607455237	43.5160336368799	4.20499897085381e-11	2.75571287818875e-08
ZFY-AS1	0.714787115393629	3.742965108173	42.5618048558925	6.84837031522369e-11	4.37294784512861e-08
NCR3	-0.331094674243156	5.34806079932861	40.6974555591084	1.77718434647432e-10	1.10643054450625e-07
PNPLA4	-0.47593844574936	4.59303747648503	40.2442864437364	2.24109819097574e-10	1.36122117682607e-07
CPA5	-0.303033991967392	5.46805641839479	38.2679190038079	6.1668183107548e-10	3.6564827712554e-07
RP11-706O15.3	-0.716789244874071	4.03906582399905	37.6894352030121	8.29526122706692e-10	4.8041137287825e-07
HEMGN	-0.620102868805976	4.17216235763077	37.3323126674712	9.96202762361324e-10	5.63828122524638e-07
